Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
08/05/1995;     61,21;          1,00189667;      14,6833563911120810;
09/05/1995;     61,21;          1,00189667;      14,7112058726784115;
10/05/1995;     61,21;          1,00189667;      14,7391081755209445;
11/05/1995;     61,07;          1,00189333;      14,7670141712029035;
12/05/1995;     61,07;          1,00189333;      14,7949730021436671;
15/05/1995;     61,07;          1,00189333;      14,8229847683778158;
16/05/1995;     60,94;          1,00189000;      14,8510002095900499;
17/05/1995;     60,94;          1,00189000;      14,8790685999861751;
18/05/1995;     60,94;          1,00189000;      14,9071900396401489;
19/05/1995;     60,94;          1,00189000;      14,9353646288150688;
22/05/1995;     60,94;          1,00189000;      14,9635924679635293;
23/05/1995;     60,94;          1,00189000;      14,9918736577279804;
24/05/1995;     60,94;          1,00189000;      15,0202082989410862;
25/05/1995;     60,94;          1,00189000;      15,0485964926260849;
26/05/1995;     60,94;          1,00189000;      15,0770383399971482;
29/05/1995;     60,94;          1,00189000;      15,1055339424597428;
30/05/1995;     60,94;          1,00189000;      15,1340834016109917;
31/05/1995;     60,94;          1,00189000;      15,1626868192400365;
01/06/1995;     61,34;          1,00190000;      15,1914959241965926;
02/06/1995;     60,94;          1,00189000;      15,2202078514933241;
05/06/1995;     60,94;          1,00189000;      15,2489740443326465;
06/06/1995;     60,80;          1,00188667;      15,2777438261928676;
07/06/1995;     60,80;          1,00188667;      15,3065678871374309;
08/06/1995;     60,80;          1,00188667;      15,3354463295730565;
09/06/1995;     60,80;          1,00188667;      15,3643792560996721;
12/06/1995;     60,80;          1,00188667;      15,3933667695107776;
13/06/1995;     60,80;          1,00188667;      15,4224089727938105;
14/06/1995;     60,80;          1,00188667;      15,4515059691305114;
16/06/1995;     60,80;          1,00188667;      15,4806578618972909;
19/06/1995;     60,80;          1,00188667;      15,5098647546655966;
20/06/1995;     60,80;          1,00188667;      15,5391267512022816;
21/06/1995;     60,80;          1,00188667;      15,5684439554699724;
22/06/1995;     60,80;          1,00188667;      15,5978164716274389;
